SEND: NKKR:ZZBA,2,1,0,1,1,2068,0,0,0,0,0
SEND: My2L:ZZBA,3,1,0,1,1,3135,0,0,0,0,0
SEND: zylV:ZZBA,4,1,0,1,1,4202,0,0,0,0,0
SEND: mirD:ZZBA,5,1,0,1,1,5269,0,0,0,0,0
SEND: rJTi:ZZBA,6,1,0,1,1,6336,0,0,0,0,0
SEND: US4M:ZZBA,7,1,0,1,1,7403,0,0,0,0,0
SEND: 0SpK:ZZBA,8,1,0,1,1,8470,0,0,0,0,0
SEND: 2goh:ZZBA,9,1,0,1,1,9537,0,0,0,0,0
SEND: 7lrG:ZZBA,10,1,0,1,1,10604,0,0,0,0,0
SEND: DwpE:ZZBA,11,1,0,1,1,11671,0,0,0,0,0
SEND: NZo6:ZZBA,12,1,0,1,1,12738,0,0,0,0,0
SEND: cd9A:ZZBA,13,1,0,1,1,13805,0,0,0,0,0
SEND: yKyV:ZZBA,14,1,0,1,1,14872,0,0,0,0,0
SEND: wO7E:ZZBA,15,1,0,1,1,15939,0,0,0,0,0
SEND: qtNb:ZZBA,16,1,0,1,1,17006,0,0,0,0,0
SEND: wSHO:ZZBA,17,1,0,1,1,18073,0,0,0,0,0
SEND: RpFV:ZZBA,18,1,0,1,1,19140,0,0,0,0,0
SEND: kM2Z:ZZBA,19,1,0,1,1,20207,0,0,0,0,0
SEND: 9R53:ZZBA,20,1,0,1,1,21274,0,0,0,0,0
SEND: 8HJ7:ZZBA,21,1,0,1,1,22341,0,0,0,0,0
SEND: M1uQ:ZZBA,22,1,0,1,1,23408,0,0,0,0,0
SEND: e4pW:ZZBA,23,1,0,1,1,24475,0,0,0,0,0
SEND: FoMA:ZZBA,24,1,0,1,1,25542,0,0,0,0,0
SEND: nwsM:ZZBA,25,1,0,1,1,26609,0,0,0,0,0
SEND: zH2R:ZZBA,26,1,0,1,1,27676,0,0,0,0,0
SEND: IEKq:ZZBA,27,1,0,1,1,28743,0,0,0,0,0
SEND: fIFT:ZZBA,28,1,0,1,1,29810,0,0,0,0,0
SEND: bGNI:ZZBA,29,1,0,1,1,30877,0,0,0,0,0
SEND: 7aO5:ZZBA,30,1,0,1,1,31944,0,0,0,0,0
SEND: RUXp:ZZBA,31,1,0,1,1,33011,0,0,0,0,0
SEND: gnKV:ZZBA,32,1,0,1,1,34078,0,0,0,0,0
SEND: 9gVO:ZZBA,33,1,0,1,1,35145,0,0,0,0,0
SEND: 4An4:ZZBA,34,1,0,1,1,36212,0,0,0,0,0
